order_id,payment_sequential,payment_type,payment_installments,payment_value
25e8ea4e93396b6fa0d3dd708e76c1bd,1,credit_card,1,65.71
0573b5e23cbd798006520e1d5b4c6714,1,boleto,1,51.95
cf95215a722f3ebf29e6bbab87a29e61,1,credit_card,5,102.66
61059985a6fc0ad64e95d9944caacdad,1,credit_card,1,132.04
b2349a3f20dfbeef62e7b31baa22f84b,1,credit_card,3,136.71
4d680edbaa7d3d9bed69532957368a03,1,credit_card,10,353.09
5cfd514482e22bc992e7693f0e3e8df7,2,voucher,1,45.17
b2bb080b6bc860118a246fd9b6fad6da,1,credit_card,1,173.84
00d8d65b666158b633f96054d31af43b,1,boleto,1,130.88
6ffb3f1686bceae3466facf7e02ce3fb,1,credit_card,1,32.0
e8977f709bbb0367f51b589e6325f991,1,credit_card,1,132.51
2e2c60b99754ae1e4d8b18846cfec9f2,1,credit_card,4,542.66
10af96a0689260134307879127ac1952,1,credit_card,2,113.2
3e0c3cab458e8b3cc8d1d38ecb7e7775,1,credit_card,2,105.53
4217849b1ff18a9270fe048eabc4dc45,1,credit_card,1,67.88
795c16acb4e3c30dfa5b6827727ef488,1,credit_card,2,37.58
947e9c6bfd83a06953c420ef92d3da6e,1,voucher,1,69.46
110d9355d6338eab0a65a0cacdde5434,1,credit_card,5,566.4
4b2d035932915aa9c2a0d4d84cd6d3b0,1,credit_card,3,187.51
8e47a04b25d7a7075064e8e0bd2e0318,1,credit_card,1,37.61
723e462ce1ee50e024887c0b403130f3,1,credit_card,1,13.8
fa2ea4b6e84c1c0fc4f3a6d468c55183,1,debit_card,1,227.12
b19ca559688b49e8cf7f88c1aa3f0009,1,credit_card,7,73.34
4a02e985c7239d866a632f07ed20d9c0,1,credit_card,1,48.62
de4090fd9b7900d46323b0c7c36b7128,1,credit_card,2,121.45
20f136d890c31a62486c809f91a5b098,1,credit_card,10,117.68
d46f45b0d795bcf47a19d301710e63fe,1,credit_card,1,27.27
f49cd89d6dad6dd5759ecf15dfe4bb19,1,boleto,1,47.0
243312dbb316253ab77bb0140d94803c,1,credit_card,10,285.79
2ccde1e4676c20b9444e2bcbed36334c,1,credit_card,8,134.56
0c99132c4ff916416ba8f74c378f1cbc,1,credit_card,4,135.93
f75666bf6c9e09f6b3f4bcd797b57a3c,1,credit_card,4,97.28
96cc8c42014ddb42a775da9a45ae3f76,1,credit_card,2,203.3
3b697a20d9e427646d92567910af6d57,1,boleto,1,45.46
55c0b6b41ce482c3f77407ef43fc6bad,1,boleto,1,26.08
953b6636ab2347a8ba37a16770db47f9,1,credit_card,10,379.07
c61e3efc183db6b89f5556efb5aa8797,1,credit_card,1,45.5
279cc62fe9c5a9e6a7ad5a7536560944,1,boleto,1,116.56
4a4ed9ed7922304a569ed850baba99c6,1,credit_card,3,33.13
b545ba7b0bd67a3128185c7214704319,1,credit_card,8,340.08
9d8065ae4c6f5725ee052d02ab00f64e,1,boleto,1,82.06
79b63d1f9cf0257b33b04fbfb0847cba,2,voucher,1,76.9
7327c30a5230ce07bc2c7a695d553a00,1,credit_card,4,40.27
3b9e43d6eba694f8a29c11ee67a04f2c,1,credit_card,8,242.1
1e6d912e4c63965bb9eccf0cc765fc24,1,boleto,1,207.24
d4fdb2be174c84a6409a3968c55b01c5,1,credit_card,1,39.92
648b4f683ccf074ebe65a73c8096dd18,1,credit_card,4,139.87
02951078a21a2d9341ea16089a4d5031,1,credit_card,12,257.1
2ad6c6594bf0917a25ff8b8918d4b7b0,1,credit_card,1,40.0
332c6742772f2df936696b6512b10edb,2,credit_card,6,134.55
fd1ddfeca967b94315642dfe5c7545f7,1,credit_card,6,225.71
85e710051891004eca4f527adcadd0c3,2,voucher,1,69.8
31be75ffd0c4b58ca777e72cd2352b14,1,boleto,1,95.99
6cdb86865449a92089579ea715e1c1d1,1,credit_card,1,52.57
ae1126b6891f58552443772c80b1f562,1,credit_card,1,133.81
d56564f21e612a588607e9ffb39b9d21,2,voucher,1,1.23
4b5648d8399ea47a4c323499045aaefc,1,boleto,1,32.38
52b5d339bbba7bd8f18ca836ab540227,1,credit_card,1,43.08
5f082a502d1fd6f19d32897c2c2cbcec,1,credit_card,10,645.8
27a7ac440630f9de788e4d66e72c6424,1,credit_card,1,186.39
1c67e99dc37224bf3ad220ae2368c068,1,credit_card,1,106.96
2176f1406c11f07dcdea94931730770d,1,boleto,1,88.08
f553b61e2a7f6dc62c5f8de4ffb4a031,1,debit_card,1,194.91
1966886b80f14d0588adf6406afb0026,1,debit_card,1,68.89
97e8d3eb8f48e3610beed991e5f32296,1,credit_card,4,205.44
7cb79316d2abe37e16ec83a07afb2895,1,credit_card,1,13.55
808c4b75909ba91f23c1ef928f396822,1,credit_card,3,143.65
7354aed5e2d142803a8121059f1e9324,1,credit_card,4,68.16
0f67e615d797da223ac5601b9b08b180,1,credit_card,3,153.67
009ac365164f8e06f59d18a08045f6c4,5,voucher,1,8.75
f1b7c83171b22e2babd61eb8501d58d5,1,credit_card,2,44.27
1f31fc163d36ff823c54a14e947b5bc8,1,credit_card,2,114.13
d4c46523b1239f182b74fb0ea1c27f32,1,credit_card,1,396.97
73596e67516934a7fe64cc6ca6d75545,1,credit_card,3,62.11
e9da0d015d8dbc78a000c0b78cc87728,1,credit_card,2,25.23
3ba1ccc3882bd7df61ee5030f44ec1d2,1,credit_card,5,194.0
490f30e8fa50cb3ef01058c9ab43048d,1,credit_card,1,49.59
191a21c0a0934fdb7dcd56c6b28a8682,1,credit_card,3,196.55
e4fe84926e03b0030e643318464be6a7,1,credit_card,2,217.15
bf5099786cc9dcd17a4961c9406fb3f3,1,credit_card,1,85.82
5eca2113141f2c0e048b11bdcb7a0371,1,credit_card,1,41.17
94a71bedec852e752e86d530d03d6061,1,boleto,1,31.86
c776863a93dc0740c6e7d78104b21413,1,credit_card,3,264.08
7cf01fbc143d74367eedc9b9f8fbf437,1,credit_card,2,91.72
cee90a4ed9adb7e720e6007bcc43e4e3,1,credit_card,3,62.01
ddc5ef5f86c69f1a29ff3e05e3fc54ab,1,credit_card,1,36.69
a144da15ca9cb1ebccf012a14736c54d,1,credit_card,8,256.37
e65f1eeee1f52024ad1dcd03447f7482,1,credit_card,1,43.28
d2ebd7492d92dfb6a5737ba33a58f920,1,credit_card,4,144.54
8e6df87600aae0285919b5529f7f0bfd,1,boleto,1,126.48
b45255a6696ebb8f53915a109a16458a,1,credit_card,4,125.29
2df8ef770ee7c12291ed7811f4f414c5,1,voucher,1,56.89
87b8f9f472fb04cdbf53fb55a3591b5f,1,credit_card,3,72.66
fff7c4452f050315db1b3f24d9df5fcd,1,credit_card,1,756.91
9786fe4bfc559809a4bc1a58b72e2077,1,credit_card,8,368.92
0fe5bc7345e72628330234915ed373bd,1,boleto,1,106.85
22543080a0066963931832c0df11b2be,1,credit_card,2,54.25
a72d1276fd9d74c154120c3a11eba771,1,boleto,1,75.69
2b49d60af10ea7e2443376987ec8a184,1,credit_card,1,35.7
6df674fd09d933a85574460e32a94e23,1,credit_card,2,65.71
f6e638ae1f17003aac1cb6dc6a93ba73,1,credit_card,1,79.88
242bc9216a7d8514ba8d435a96d63c3d,1,boleto,1,127.69
3be1b5820b7f93acc617a3b680f37c91,1,credit_card,5,349.99
b4d7995506859f96187970c8275ee66c,1,credit_card,8,540.02
fa9ef315051f18a68686aca274ae8f2a,1,credit_card,4,107.78
8a0ecc540156c0f21f25d7bfd4e95dbe,1,credit_card,1,68.0
65bbd0719855fe808bb19f62dfa9f42c,1,credit_card,1,354.64
46c7c115d719ca780eebedf719fbd4e1,1,credit_card,4,59.71
9bfe486cba6ba9af52af7bfe86ff9859,1,credit_card,2,69.54
ebee038c5993647eb1defc78207cd187,1,credit_card,1,114.25
b249bb5bc00cfbe2ce917a5a07c72b46,1,credit_card,2,151.79
c5bb91ea2129a21a4f424d356a4d28fa,1,credit_card,4,243.62
ff5b7f440481674b38554434638beebf,1,boleto,1,110.63
17b18aa0bfdcebddefdf2d7da5718181,1,credit_card,5,101.34
fcf62e3aab276898567e4ab7e973417f,1,credit_card,4,60.2
940d83f3286808e4f8b1a7ac975b2aa9,1,boleto,1,76.02
c2f065051bb7c9e7f88ebc998f332968,1,credit_card,3,37.37
8cc7ecd8057b154fb9227536dba2ce24,1,credit_card,5,150.15
1fce50c1831b6809773e5020edc716e2,1,credit_card,2,36.16
503ede67b27bbb1c7dca67c00af403a5,1,credit_card,2,228.6
0a629239073738043764cd721c8ab2da,1,credit_card,1,46.81
6e8e751584b3e3141e3e3c39f71408c2,1,credit_card,6,187.15
290069e93a387bceb35f0106717ab803,1,credit_card,3,69.99
8d6ed3e982e12a1684b31540309e044b,1,credit_card,4,236.81
d73f657ce49ec301ac81116e74bd0571,1,credit_card,3,65.1
6eab6f37ff2d390d23be84642739b500,1,credit_card,5,279.4
e43a8e7bb3db31ab15c10dfc9ef4e419,1,credit_card,4,69.41
b308154c76f89d8c52b41f7c8480d107,1,credit_card,7,71.66
1d6efdc47fc22d96340ff4b18566ef54,1,credit_card,2,98.47
69796e4e03edbf9c0f49c76d4ebadb77,1,debit_card,1,93.22
20c75d31d2151bf4e0b8b398e64fb163,1,credit_card,4,48.74
92295e7114a22f7180b04673e44cda17,1,credit_card,8,453.74
ca376f8f4042e61688af8cfd32d4e80e,1,credit_card,3,234.08
aa04ee4542e835a3e6f4da876dc654c6,1,credit_card,1,19.33
44f9bb85e9dfb3f106dd017fbd8b8006,1,credit_card,3,134.12
3e47a8cc66024053901d7313a7d2a0b7,1,credit_card,2,330.4
16e62e9da7d33d61b6f26ccf68bc962c,1,boleto,1,415.93
6d0da5add693d625079fa8fdf40967d6,1,boleto,1,19.48
c283d7942d2bbca2c27a9c15ee2a390e,1,credit_card,1,206.76
9e685885967d3152a558f94a355e3b6f,1,credit_card,1,142.21
a1f7a3803f5afa1b25182cbc0b2c38be,1,boleto,1,73.34
92e3a3bff7261e031fc2901b229ce73a,1,boleto,1,212.73
2e69eb402e990dd7df2f12806dc38a4a,1,debit_card,1,88.08
f41fbf3e30f0f79822348910ca2009f2,1,credit_card,1,104.43
d85a98bb9881eb52e0efa5e9ddece3eb,1,credit_card,3,61.79
2299befc86b7b31fc23dcba911582355,1,credit_card,1,25.5
197be0df90e5b459a14669e32c8ce1ff,1,credit_card,6,114.28
0d4bf86877b0763d194d50ca6a136bf9,1,credit_card,3,64.1
067a8c6d7efd34e3595ef4bf1500c766,1,credit_card,1,35.05
ba7243ecb3b63c80579ba1d4c34e277c,1,boleto,1,55.06
3ef8344e342218131639ab03da0189cc,1,credit_card,3,151.09
539a1383b0bd9b963044945e607f1aca,1,credit_card,3,188.06
9b790ca446b8e28ce5e4382959f6b7df,1,credit_card,2,257.21
bd0f032970584aa4a5b78947cb63e455,1,credit_card,8,181.1
a45007bebe435ae6fb3637ede777476e,1,credit_card,3,164.15
5256aac1d939c4bbc931cc7c1c78a419,1,credit_card,10,137.13
a8ff452116db2ff4a2963f490afe5471,1,boleto,1,104.37
2f9892eb8df4a437d90cc5b1486f3b02,1,credit_card,3,121.09
a1431d521cd6c63636bd85cdad970498,1,credit_card,2,135.26
972c2e78e9af23a750a48184aadfca4d,1,credit_card,3,51.09
f75517cfb973c21eab8559a870263794,1,credit_card,10,231.27
d022bdad33a575ca5edb8c4d51e44310,1,boleto,1,70.03
5600c1fabd9c27cf4dc4a3aaf57a8e29,1,credit_card,2,58.16
701784c754c8ac2e2a73dbbe7dc3a363,1,boleto,1,52.75
270f00466aae4f41f010eaba2da31425,1,credit_card,2,60.0
d790743eff8a57ec6b1bd64865b8c60f,1,credit_card,3,39.01
ca29aec188eb04a764fce98c6f69232c,1,credit_card,1,168.35
12788af294f51dd5ba2aaed208a45969,1,credit_card,1,77.89
b0b61472cd1ff0e9f1450c6ae4c8d5a4,1,credit_card,1,99.43
63c5f492ab4ee6c249acbb4cff61ae3f,1,credit_card,1,407.9
8ca5bdac5ebe8f2d6fc9171d5ebc906a,3,voucher,1,15.0
6c98fa39891b33399785aeac3d7ee926,1,credit_card,2,424.04
6bf0f652ea13e6773172c1899a925bb4,1,credit_card,1,65.47
c74e4862507efb811471cd922e6f3529,1,credit_card,5,365.32
1475652ad485c6469bd02393c70fdaa9,1,credit_card,2,81.73
8c53283eca3bc0e603a48f2b8725e96f,1,credit_card,1,17.86
205587440f824c5e5d7bc3bccb63aa15,1,credit_card,10,569.66
ac033ca6c43caa50310de844a7868c8e,1,boleto,1,74.03
6365be88d51d66dbac002c738a56bae9,1,credit_card,1,64.34
67976860fdf683e7bdb13c4f907a982e,1,credit_card,7,163.69
2d824bac66ec7467745b2defcee22c1e,1,credit_card,6,165.31
76978d31d8e911d947c1c80c193e116d,1,credit_card,1,76.87
c1d8546e6ed294dea3203910c9b0e7b5,1,boleto,1,128.07
ceddc11f4f78257d0fa6750091d378b4,1,credit_card,1,32.38
b9d5bea267e1dd6838786cc12ba40ceb,1,credit_card,1,98.86
3c608a571543f2f2b96f2e6cb3a2d10a,1,credit_card,6,191.58
64c9c64b12678438c07b5ec6cc785976,1,credit_card,1,33.1
375d01d18f644eb19328130122fcc9ef,1,credit_card,1,65.57
816ccd9d21435796e8ffa9802b2a782f,5,voucher,1,27.91
f8c6dd2b68a916d939d46cb98af8fc49,1,credit_card,7,75.7
54066aeaaf3ac32e7bb6e45aa3bf65e4,1,credit_card,2,61.19
5cfaa2e60887ab4aed7d4e637efe2156,1,credit_card,5,50.5
cc58d2040605eaadced18735aef5bbb0,1,credit_card,10,367.2
a0f3677ac2cfd35a8d76f4a26fb29a95,1,credit_card,7,144.8
69ab7fdbd887d055b05826a8cc5591d7,1,boleto,1,28.62
0ad81eec70d65880c30299b73ac7945d,1,boleto,1,160.74
276c36d0f0218b24c09343edf53cb98f,1,voucher,1,17.01
8a08c6b7d01513f42c76604beded88c8,1,credit_card,2,161.01
b34f86c59a76bef28aa32825ab4370f6,1,credit_card,1,292.86
8ef3801f58da6b652a3082e1fa5b6589,1,credit_card,2,129.15
2adb88df15a33d97f2990e59b1745820,1,credit_card,1,27.48
e08878ad70acad81d0e90f59e56ce9a6,1,credit_card,1,84.79
b6165efbad3f8539e365b9ae5a2f3c44,1,credit_card,1,189.66
026a69b8c98fbfc61de9050c41f1dd95,1,credit_card,3,135.47
25e8002575a945e8d4ae84ca208daa50,1,boleto,1,104.07
18045b4512947089463f5efbdaa3c341,1,credit_card,1,57.67
0588a3721b3d0a1f0b549fb84fd9cf10,1,credit_card,1,109.31
cad2acef57f845758b7d0da4ee76a3e1,1,credit_card,3,276.44
46ac11dfb657fb82eed780478f2936c7,1,credit_card,2,116.99
8e3ab8811f9c3a04413aa4e14f84b872,1,boleto,1,46.0
2e40f4ca6760b2209d72989c1533fe0c,1,credit_card,1,119.18
2ff04f721a0ccf086506b4ba443d924a,1,boleto,1,32.13
90ea2b1be9c98c67406de151652daa63,1,boleto,1,59.22
5662e7f8bbc6abe55e104ac06994a731,1,credit_card,3,57.69
d482cb92e40c8f1f96da881196ddd956,1,credit_card,3,117.94
631bf0797fc3480d6eae9757b0c816b4,1,credit_card,10,528.69
98f0e2b0d85754ca3b4e06d70f0f63a2,2,credit_card,2,70.0
e326f9904d668c8e2fce637b8b1fabe6,1,credit_card,3,180.47
7df4045bb089bf92e7eaf3b506b6423b,1,credit_card,2,110.77
879dd3373c7f9f0412d2ee301cdadbdb,1,credit_card,1,48.23
b11a2fc0664cad475e2700523625a1e6,1,credit_card,2,71.13
