customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
06b8999e2fba1a1fbc88172c00ba8bc7,861eff4711a542e4b93843c6dd7febb0,14409,franca,SP
4e7b3e00288586ebd08712fdd0374a03,060e732b5b29e8181a18229c7b0b2b5e,1151,sao paulo,SP
4f2d8ab171c80ec8364f7c12e35b23ad,345ecd01c38d18a9036ed96c73b8d066,13056,campinas,SP
fd826e7cf63160e536e0908c76c3f441,addec96d2e059c80c30fe6871d30d177,4534,sao paulo,SP
5adf08e34b2e993982a47070956c5c65,1175e95fb47ddff9de6b2b06188f7e0d,81560,curitiba,PR
b2d1536598b73a9abd18e0d75d92f0a3,918dc87cd72cd9f6ed4bd442ed785235,18682,lencois paulista,SP
eabebad39a88bb6f5b52376faec28612,295c05e81917928d76245e842748184d,5704,sao paulo,SP
a7c125a0a07b75146167b7f04a7f8e98,5c2991dbd08bbf3cf410713c4de5a0b5,22750,rio de janeiro,RJ
237098a64674ae89babdc426746260fc,4390ddbb6276a66ff1736a6710205dca,82820,curitiba,PR
f681356046d9fde60e70c73a18d65ea2,5f102dd37243f152aec3607970aad100,9121,santo andre,SP
e0eea8f69a457b3f1fa246e44c9ebefd,4d221875624017bc47b4d1ce7314a5b7,29311,cachoeiro de itapemirim,ES
41c8f4b570869791379a925899a6af8a,fe3634ccefbcdb0537b45fd589e32e8e,7170,guarulhos,SP
b6368ca0f56d4632f44d58ca431487b2,dd992305cba295d997f263dbdf4e8c2e,88104,sao jose,SC
d3b6830d18c7de943d1e707d1f061d40,27cf4b153010911a0957150255a6c6db,5351,sao paulo,SP
79de53946db384e2d7a9bd131792ad17,7ce5b57a120a2da6a804afa58ffcbfb5,39406,montes claros,MG
a562ab1e728449e3461829dfe2e36f73,d33eeadf54cb883e79be640f38c32cdc,14860,barrinha,SP
aa9f03ecd3728c9bd12e6d962c66c7cb,b03e9d9818ee170e9d6b983803c7d406,75388,trindade,GO
230c0d740401730c7197d16376893525,a302a693d5722d95984e6472150b9391,85808,cascavel,PR
cc32707d2e2f7c92ab449f9b28154809,0d516ca029d6a28d5cfddd80b27a26dc,22440,rio de janeiro,RJ
26acee41e2f75689a5615892f06ea0bd,c3293e875ffb1116018edf76d24e52a2,30190,belo horizonte,MG
f64cdee66599119324ce57a97e43700d,d89e05e2d23c3d8247aeecd07758004b,13212,jundiai,SP
b514422efcf14bef34858a0829bef189,b436a108536c1dabbc1d3e808d782df9,24431,sao goncalo,RJ
f6529ffebe6b3440d45d89604a4239ac,e5dbefdfdf3eff75c8e6cd655f128279,26272,nova iguacu,RJ
f9dfa0a2934ffbb22e66924952548be8,bf6e263ffc1f89999827615522b0aa45,13573,sao carlos,SP
3f6ede29d4c69cd3316d2035b6cec1fb,7a380cb5434e6b6b5b37d45bb99dbe8a,9890,sao bernardo do campo,SP
670254dd2e886ffe621b3831afb47d7d,914b142462685e3161cf3a9f4152a028,44380,cruz das almas,BA
f7cb015ff73be957ee6a30e2577742c5,e235442a956c524e6c141141171f5801,27700,vassouras,RJ
e50a30de3c32f9406a7185f40ce6874d,b4d6e1b900d99b52e901860bc1f44e35,71540,brasilia,DF
ae76a4650235ab18764708174f1da31e,2b6082a140c439e2df870c85b0aa5e88,2983,sao paulo,SP
a1b9e0e44dbb043645cd14b00849a705,eab761ccdba80c5b9a7f01b16543da0f,4105,sao paulo,SP
530220145a68ef57f0cc54faf1061f8c,7b24d0e6584ac5a21ec1256d96965500,35500,divinopolis,MG
560829a36d563e8395cc073071a02bfd,fa7e6f153b7724fda5c1d7cc7b9ae4ec,25850,paraiba do sul,RJ
aa0fbd830c89acc3d79d311ff43d0920,eabd76f3506262b0db0dda1d48394a9b,80050,curitiba,PR
bf60fa574e188373d3cb331d04aeb4f1,54fccbde5e005f2dbc6ad8d5473c9ac7,8490,sao paulo,SP
dc53883e94804c81b4afdf2c23478d97,5ece49e012285b9003d084a4ea8a9c94,9862,sao bernardo do campo,SP
faafae37ddb3e4af81c10a397bcca35f,1a7a10e9273fca58179bdd0d40843b0c,7243,guarulhos,SP
e255bea28fdeb105b85a23947349cca5,34c6f984b590bbfe3d4d6c76007c0b1c,96215,rio grande,RS
8b47e5ba29a9cd9947ee6be2f025ed66,9bbfdf9f7f65b58481e1ed110a2eed46,71665,brasilia,DF
c67de3b27c091f07a35cd57362cf225e,0567f279c243671842613f581ed3462c,12929,braganca paulista,SP
d6ea00d4a2dca6a01c708931b325a9e5,1d4626b197f66aa6129c135ab09f1a7b,73020,brasilia,DF
154e666b681104319714a99a3ab71e44,be1e99a0c57d7c3c699cfc4db26c8edf,32070,contagem,MG
7f2357cfd99c900565e6ffd6d2708d9d,466c3a741a952640c1984a48ebbffbf9,22251,rio de janeiro,RJ
eb66863a17ee48ce53653ee4afd4af21,b49d79cdef655bb4cdf8223390c20524,78557,sinop,MT
69572b6a8713a15e9f1fa80b1620daf4,7a78c6e53163e36c68d2f22f5909b0eb,17602,tupa,SP
4d5110d0a2b5239cb983610da1d18774,629fb99609e4613c746af4eaa455c91a,4427,sao paulo,SP
b47973c8ea3acd5c549120a28d31f62c,a05262e3e3de722e0a42cfa3b48e622c,3563,sao paulo,SP
0981cb5376215f2570ccacd95d6ef3f6,8377420a8b3549f6f40dca93815ee602,4723,sao paulo,SP
9e0628923d9fe029c079eb11ae72d241,dc643b60537f44f35b2f91610ea64153,36855,eugenopolis,MG
277046fb06e3f5185b0f4a816b811286,05292bc3f6db7fd79133285a32a82d53,13142,paulinia,SP
8541665e9f73b628748b234cf6bb46bd,c230d0a507ccf302b339305e2acf3376,3127,sao paulo,SP
0f2472966982432136bd3dc7098d5bde,58e1140fb8f15f1a010d01a34bfbf77d,9030,santo andre,SP
332fa01da1b4e11dfbc8df1ed883a467,317a5bc8cf58c4401e221c74d7a51982,30830,belo horizonte,MG
eee74b2a9aa0989243d2793c1a90fbf6,a40096fc0a3862e9e12bc55b5f8e6ab2,20561,rio de janeiro,RJ
80c74074b2a3c419ee813c0b31ef95c7,e9adf7ea1e1dbb166b5024015154104b,7191,guarulhos,SP
1004c05877ddf8196ad1341ca602e628,6ad430c5fac5e72b42f74af4ad7e98f3,5451,sao paulo,SP
b99054fd23768e0fc903c0eab8a83442,bbbea7f167264b7236e4459dcb0a8838,22220,rio de janeiro,RJ
2e2aceda14bf519194b25f568876ab3d,ef2994ab5e93b358146005d4d3db4880,38415,uberlandia,MG
6b4a545e81c747a0f12ec50d9f725d63,533959cf0ee1554e269d8cc79f12a7d1,18900,santa cruz do rio pardo,SP
b6349bdae88bc7c85c4aeb0cb604dac8,b5d37c728f9ea12eae24f87212cf90fa,45320,santa ines,BA
55dbeedb7b2bf8d3059f319abe27202f,e44a59cd3178714eaf095face6112af5,23075,rio de janeiro,RJ
4b003ee1eabaffe8ff8e6d75394a9b42,941590fb8aef66b3a8352fe7c691879e,48700,serrinha,BA
00a39528c677a55852f57235f988b837,9f67d6145893e41e7ada2e646b84f658,18112,votorantim,SP
265655cf1f2dfd4fc630004d1fe5f3cb,fc0a9229ea43fea6c9f9d79c06761a1e,13185,hortolandia,SP
e0ac2a4e5a234620bfcaef3796384831,14e66b7268fef09f5183f5e3a84cdd91,27580,itatiaia,RJ
6b53c8e698ffdea3353ba3339aacfa95,184ff574579b06c07152f2ba4ae74106,95095,caxias do sul,RS
1681471e9172d7e12ba08e9ac9e8628b,84032c13e75382a35c99ae73156b30b9,20250,rio de janeiro,RJ
ccb8e120e8af0bbf5a1daa2f21984d7b,97dc91f9e896442f6ac9650bb2a9b594,13053,campinas,SP
32ef00faaec28f844c83dd9856d67177,803c9b252709beca97a308a9197371ff,5450,sao paulo,SP
0e19f44898c5554faac8f95f1473bb4b,d197a184e01ac46e6cb6596185bd4db0,57046,maceio,AL
